id_sede,nombre
EDOMI,Sección Consular
EDOMI,Sección Económica y Comercial
EDOMI,Sección Administración
EEARB,Sección Consular
EEARB,Sección Política
EEARB,"Sección Económica, Comercial y de Inversiones / Oficina Comercial en Dubai"
EECUA,Sección Educación y Cooperación
EECUA,Sección Económica y Comercial
EECUA,Sección Política
EECUA,Sección Consular
EECUA,Agregaduria Militar
EECUA,Sección Cultural
EECUA,Sección Prensa
EECUA,Administración y Logística
EEEUU,Agregaduria Militar
EEEUU,Agregaduria Naval
EEEUU,Jefe de Cancillería
EEEUU,Agregaduria Aeronautica
EEEUU,Consejería Agrícola
EEEUU,Sección Económica y Comercial
EEEUU,Sección Administrativa y Recursos Humanos
EEEUU,Prensa
EEEUU,Sección Cultural y de Diplomacia Pública
EEEUU,Sección Política
EEEUU,Sección Consular
EEGIP,Agregaduría Militar
EEGIP,Sección Consular
EEGIP,Sección Comercial
EEGIP,Sección Cultural
EEGIP,Sección Administrativa
EEGIP,Sección Política
EESPA,Sección Económica - Comercial
EESPA,Jefe de Misión Adjunto
EESPA,Representante Ministerio de Desarrollo Productivo
EESPA,Sección Administrativa y Recursos Humanos
EESPA,"Sección Política, Prensa y Comunicación"
EESPA,Sección Política y Cooperación Jurídica
EESPA,"Sección Cultura, Educación y Protocolo"
EETIO,Sección Cultural
EETIO,Sección Consular
EETIO,Sección Económica y Comercial
EETIO,Sección Política
EFILI,Ana Clara Pianezza
EFILI,Mauricio Germán Muñoz
EFILI,Josefina Marcela Gallo Morando
EFILI,Andrea Silvina Repetti
EFINL,Sección Comercial y de Inversiones
EFINL,Sección Consular
EFRAN,"Sección Política, Asuntos Juridicos y Derechos Humanos"
EFRAN,Sección Administrativa
EFRAN,Sección Organismos Internacionales Económicos
EFRAN,"Sección Económica, Comercial, Promoción e Inversiones"
EFRAN,Oficina Turismo
EFRAN,Jefe de Cancillería
EFRAN,Sección Cultural
EFRAN,Sección Cooperación Internacional
EFRAN,Sección Consular
EFRUS,Sección Consular
EFRUS,Asuntos Estratégicos
EFRUS,Sección Concurrencias
EFRUS,Sección Política
EFRUS,Jefe de Cancillería
EFRUS,Sección de Prensa y Difusión
EFRUS,Agregaduría Agrícola
EFRUS,"Sección de Cultura, Turismo y Cooperación Deportiva"
EFRUS,"Agregaduría de Defensa, Militar, Naval y Aeronáutica"
EFRUS,Sección Económica y Comercial
